id,official_name,parent_organization,description_purpose,member_count,appointment_authority,meeting_schedule,website_url,notes
nctd-004,Executive Committee,NCTD,Executive oversight and policy,Not specified,Board leadership,As needed,https://gonctd.com/about-nctd/board-information/,Board leadership committee
airport-001,San Diego County Regional Airport Authority Board,San Diego Airport Authority,Airport governance and policy,9,"Appointed by mayors, county supervisors",Monthly,https://www.san.org/airport-authority/board-members,"Chair: Guillermo Cabrera, CEO: Kimberly Becker"
airport-002,Airport Authority Planning Committee,San Diego Airport Authority,Airport planning oversight,Not specified,Board appointees,As needed,https://www.san.org/Airport-Authority/Special-Committees,Reviews planning matters
airport-003,Airport Authority Executive Committee,San Diego Airport Authority,Management oversight,3,Board appointees,Regular,https://www.san.org/Airport-Authority/Special-Committees,Three Board members
airport-004,Airport Oversight Committee,San Diego Airport Authority,Board oversight and review,Not specified,Board appointees,Regular,https://www.san.org/Airport-Authority/Special-Committees,Reviews board meetings and agendas
airport-005,Airport Art Advisory Committee,San Diego Airport Authority,Airport art program oversight,Not specified,Community appointees,As needed,https://www.san.org/Airport-Authority/Meetings-Agendas/Airport-Art-Advisory-Committee,Art program guidance
port-001,San Diego Unified Port District Board of Commissioners,San Diego Unified Port District,Port governance and policy,7,"Appointed by city councils of member cities",Monthly 1st Tuesday at 1pm,https://www.portofsandiego.org/people/board-port-commissioners,"Chair: Danielle Moore, Vice Chair: Ann Moore"
port-002,Port Environmental Advisory Committee,San Diego Unified Port District,Environmental policy advisory,Not specified,Community appointees,As needed,https://www.portofsandiego.org/,Policy BPC 730
water-001,San Diego County Water Authority Board of Directors,San Diego County Water Authority,Regional water governance,34,Appointed by 22 member water agencies,4th Thursday monthly,https://www.sdcwa.org/about-us/board-of-directors/,"Chair: Nick Serrano, Vice Chair: Frank Hilliker"
water-002,Administrative and Finance Committee,San Diego County Water Authority,Financial oversight and administration,Not specified,Board appointees,Monthly,https://www.sdcwa.org/about-us/board-of-directors/meetings/,Standing committee
water-003,Engineering and Operations Committee,San Diego County Water Authority,Engineering and operational oversight,Not specified,Board appointees,Monthly,https://www.sdcwa.org/about-us/board-of-directors/meetings/,Standing committee  
water-004,Imported Water Committee,San Diego County Water Authority,Imported water supply oversight,Not specified,Board appointees,Monthly,https://www.sdcwa.org/about-us/board-of-directors/meetings/,Standing committee
water-005,Legislation & Public Outreach Committee,San Diego County Water Authority,Legislative and public affairs oversight,Not specified,Board appointees,Monthly,https://www.sdcwa.org/about-us/board-of-directors/meetings/,Standing committee
water-006,Water Planning and Environmental Committee,San Diego County Water Authority,Water planning and environmental oversight,Not specified,Board appointees,Monthly,https://www.sdcwa.org/about-us/board-of-directors/meetings/,Chair: Marty Miller (Vista Irrigation District)
lafco-001,San Diego LAFCO Commission,San Diego Local Agency Formation Commission,Local government boundary and service oversight,7,"County supervisors, city representatives, special district representatives, public members",Monthly,https://www.sdlafco.org/,Independent regulatory agency
lafco-002,Special Districts Advisory Committee,San Diego LAFCO,Special district technical advisory,Not specified,Special district representatives,As needed,https://www.sdlafco.org/about/advisory-committees/special-districts-advisory-committee,Technical advice to LAFCO staff
