id,name,type,parent_entity,website_url,description,budget,staff_count,creation_date,legal_source,last_verified
city-dept-035,Parks & Recreation,Department,Mayor,https://www.sandiego.gov/parks-recreation,Parks maintenance and recreational programs,,,,San Diego City Charter,2024-09-03
city-dept-036,Performance & Analytics,Office,Mayor,https://www.sandiego.gov/performance,Performance management and data analytics,,,,San Diego Municipal Code,2024-09-03
city-dept-037,Personnel,Department,Mayor,https://www.sandiego.gov/personnel,Employee relations and personnel administration,,,,San Diego City Charter,2024-09-03
city-dept-038,Police,Department,Mayor,https://www.sandiego.gov/police,Law enforcement and public safety,,,,San Diego City Charter,2024-09-03
city-dept-039,Public Utilities,Department,Mayor,https://www.sandiego.gov/public-utilities,Water and wastewater services,,,,San Diego City Charter,2024-09-03
city-dept-040,Reservoir Lakes,Division,Public Utilities,https://www.sandiego.gov/reservoirs,City reservoir management and maintenance,,,,San Diego Municipal Code,2024-09-03
city-dept-041,Purchasing & Contracts,Department,Mayor,https://www.sandiego.gov/purchasing,Procurement and contract administration,,,,San Diego City Charter,2024-09-03
city-dept-042,Equal Opportunity Contracts,Division,Purchasing & Contracts,https://www.sandiego.gov/eoc,Minority and small business contracting programs,,,,San Diego Municipal Code,2024-09-03
city-dept-043,Risk Management,Department,Mayor,https://www.sandiego.gov/risk-management,Insurance and liability management,,,,San Diego City Charter,2024-09-03
city-dept-044,Special Events & Filming,Department,Mayor,https://www.sandiego.gov/special-events,Event permitting and film location services,,,,San Diego Municipal Code,2024-09-03
city-dept-045,Stormwater,Department,Mayor,https://www.sandiego.gov/stormwater,Stormwater management and watershed protection,,,,San Diego Municipal Code,2024-09-03
city-dept-046,Transportation,Department,Mayor,https://www.sandiego.gov/transportation,Transportation planning and traffic management,,,,San Diego City Charter,2024-09-03
city-dept-047,Street Division,Division,Transportation,https://www.sandiego.gov/streets,Street maintenance and traffic operations,,,,San Diego Municipal Code,2024-09-03
